num_keys,num_operators,length_user_value,length_password_value,length_username_value,contains_email_pattern,contains_ip_pattern,nested_keys_exist,num_nested_keys,contains_numeric_values,contains_boolean_values,contains_empty_strings,contains_fixed_values,unique_key_count,data_type_diversity,total_record_length,special_characters_exist,nested_depth,label
2,0,4,13,0,0,0,0,0,0,0,0,0,2,1,45,1,0,1
2,0,5,5,0,0,0,0,0,0,0,0,0,2,1,38,1,0,0
2,0,38,8,0,0,0,1,1,0,0,0,0,2,2,72,1,1,0
1,1,0,0,35,0,0,1,2,0,0,0,0,1,1,49,1,1,1
2,0,13,8,0,0,0,1,1,0,0,0,0,2,2,47,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1
1,1,0,0,20,0,0,1,1,0,0,0,0,1,1,34,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63,0,0,1
2,1,0,0,0,0,0,1,1,0,0,0,0,2,2,50,1,1,0
2,0,68,8,0,0,0,1,1,0,0,0,0,2,2,102,1,1,1
4,0,0,5,0,0,0,0,0,0,0,0,0,4,2,85,1,0,1
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,23,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,0
2,0,8,8,0,0,0,0,0,0,0,0,0,2,1,44,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1
2,0,10,18,0,0,0,0,0,0,0,0,0,2,1,56,1,0,1
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,23,1,1,0
2,0,38,16,0,0,0,1,1,0,0,0,0,2,2,80,1,1,0
2,0,4,4,0,0,0,0,0,0,0,0,0,2,1,36,1,0,0
2,0,53,8,0,0,0,1,1,0,0,0,0,2,2,87,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,1
2,0,4,6,0,0,0,0,0,0,0,0,0,2,1,38,1,0,0
2,1,0,0,44,0,0,1,1,1,0,0,0,2,2,76,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,83,0,0,0
1,1,0,0,22,0,0,1,1,0,0,0,0,1,1,36,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53,0,0,1
2,0,0,0,0,0,0,1,0,0,0,0,0,2,2,27,1,1,0
2,0,13,14,0,0,0,1,1,0,0,0,0,2,2,53,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1
2,0,4,4,0,0,0,0,0,0,0,0,0,2,1,36,1,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,54,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,38,0,0,1
2,0,8,11,0,0,0,0,0,0,0,0,0,2,1,47,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,80,1,0,1
2,1,0,0,20,0,0,1,1,1,0,0,0,2,2,51,1,1,1
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,23,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1
1,1,0,0,17,0,0,1,1,0,0,0,0,1,1,31,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,27,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,1
2,0,5,26,0,0,0,1,1,0,0,0,0,2,2,57,1,1,1
2,1,0,16,13,0,0,1,2,0,0,0,0,2,1,57,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28,1,0,1
2,0,6,11,0,0,0,1,1,0,0,0,1,2,2,43,1,1,1
2,0,4,6,0,0,0,0,0,0,0,0,0,2,1,38,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,52,0,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,56,1,0,0
2,0,12,14,0,0,0,1,1,0,0,0,0,2,2,52,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81,0,0,0
2,0,21,8,0,0,0,0,0,0,0,0,0,2,2,55,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,23,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,28,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,35,0,0,1
2,0,4,6,0,0,0,0,0,0,0,0,0,2,1,38,1,0,1
1,1,0,0,13,0,0,1,1,0,0,0,0,1,1,27,1,1,1
2,0,68,11,0,0,0,1,1,0,0,0,0,2,2,105,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0
2,0,37,8,0,0,0,1,1,0,0,0,0,2,2,71,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,54,1,0,1
1,1,0,0,13,0,0,1,1,0,0,0,0,1,1,27,1,1,1
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,34,1,2,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,55,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,79,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,37,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13,0,0,1
2,0,2,2,0,0,0,0,0,0,0,0,0,2,1,32,1,0,0
1,1,0,0,23,0,0,1,1,0,0,0,0,1,1,37,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,26,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,1
2,1,15,14,0,0,0,1,1,0,0,0,0,2,2,55,1,1,0
2,0,4,12,0,0,0,0,0,0,0,0,0,2,1,44,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,90,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,71,0,0,1
2,0,8,16,0,0,0,0,0,0,0,0,0,2,1,52,1,0,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,39,1,0,1
2,1,11,28,0,0,0,1,1,0,0,0,0,2,2,65,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,0,0,1
1,1,0,0,42,0,0,1,1,0,0,0,0,1,1,56,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,0,0,1
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,23,1,1,0
2,1,0,0,20,0,0,1,1,1,0,0,0,2,2,51,1,1,1
4,0,0,0,0,0,0,0,0,1,0,0,0,4,2,71,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,69,0,0,0
2,0,8,12,0,0,0,0,0,0,0,0,0,2,1,48,1,0,1
2,1,11,28,0,0,0,1,1,0,0,0,0,2,2,65,1,1,1
2,0,12,6,0,0,0,1,1,0,0,0,0,2,2,44,1,1,0
2,1,26,0,0,0,0,1,2,0,0,0,0,2,1,62,1,1,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,51,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,61,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,0
2,0,6,11,0,0,0,1,1,0,0,0,1,2,2,43,1,1,1
2,0,11,19,0,0,0,0,0,0,0,0,0,2,1,58,1,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,1
2,1,8,27,0,0,0,1,1,0,0,0,0,2,2,61,1,1,0
2,1,18,4,0,0,0,1,1,0,0,0,0,2,2,48,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,72,0,0,1
1,1,0,0,13,0,0,1,1,0,0,0,0,1,1,27,1,1,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0
4,0,0,12,0,0,0,0,0,0,0,0,0,4,2,79,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,51,0,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,76,0,0,0
1,1,0,0,16,0,0,1,1,0,0,0,0,1,1,30,1,1,0
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,55,1,0,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,1
2,1,0,19,13,0,0,1,2,0,0,0,0,2,1,60,1,1,1
2,0,8,0,0,0,0,1,1,0,0,0,0,2,2,42,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,97,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,89,0,0,1
1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,56,1,0,1
2,0,47,11,0,0,0,1,1,0,0,0,0,2,2,84,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,36,0,0,1
2,0,4,11,0,0,0,0,0,0,0,0,0,2,1,43,1,0,0
2,0,65,14,0,0,0,1,1,0,0,0,0,2,2,105,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,1
3,2,0,0,0,0,0,1,2,0,0,0,0,3,2,76,1,1,0
1,0,0,0,0,0,0,1,1,0,0,0,0,1,1,35,1,2,1
1,1,0,0,16,0,0,1,1,0,0,0,0,1,1,30,1,1,0
2,1,16,14,0,0,0,1,1,0,0,0,0,2,2,56,1,1,0
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,102,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,93,0,0,1
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,56,0,0,1
